frame_id,point_id,X,Y,Z,valid
0,0,-2.3484933,-1.2916714,4.6969867,True
0,1,-2.0669248,-1.2992098,4.7243996,True
0,2,-1.3343976,-0.97855824,3.5583937,True
0,3,-2.4642515,-2.1685414,7.885605,True
0,4,-1.4808576,-1.6289434,5.9234304,True
0,5,-1.5486343,-2.2713306,8.259384,True
0,6,-0.34583503,-0.7608371,2.7666802,True
0,7,-0.5877482,-2.5860922,9.403972,True
0,8,0.0,-1.333664,4.849687,True
0,9,0.06512015,-0.28652868,1.0419225,True
0,10,0.16258413,-0.35768494,1.3006725,True
0,11,0.6177831,-0.90608186,3.2948432,True
0,12,2.4306827,-2.6737509,9.722731,True
0,13,1.8910038,-1.6640835,6.0512123,True
0,14,1.3374324,-0.98078376,3.5664864,True
0,15,0.6544524,-0.41137004,1.4958911,True
0,16,-4.1192846,-1.750696,8.238569,True
0,17,-1.8158777,-0.8819977,4.1505775,True
0,18,-2.0338762,-1.1525298,5.42367,True
0,19,-1.8424612,-1.2528737,5.895876,True
0,20,-0.5585325,-0.4747526,2.23413,True
0,21,-1.3075848,-1.4819295,6.9737864,True
0,22,-0.87570155,-1.4886926,7.0056124,True
0,23,-0.59902644,-2.03669,9.584423,True
0,24,0.0,-0.81692344,3.8443453,True
0,25,0.362196,-1.2314664,5.795136,True
0,26,1.02926,-1.7497413,8.234077,True
0,27,0.8975569,-1.0172312,4.78697,True
0,28,1.7415736,-1.4803375,6.9662943,True
0,29,1.9766299,-1.3441083,6.3252153,True
0,30,1.5406276,-0.87302226,4.1083403,True
0,31,1.7993317,-0.8739611,4.112758,True
0,32,-0.60015047,-0.18004513,1.2003009,True
0,33,-3.9523227,-1.3550819,9.03388,True
0,34,-0.7335402,-0.29341605,1.9561071,True
0,35,-0.5308956,-0.25482988,1.698866,True
0,36,-2.1750004,-1.3050001,8.700002,True
0,37,-1.7358134,-1.3886507,9.257672,True
0,38,-0.8504877,-1.0205852,6.8039017,True
0,39,-0.5666215,-1.3598914,9.065944,True
0,40,0.0,-1.3601148,9.067433,True
0,41,0.53595054,-1.2862812,8.575209,True
0,42,0.99845123,-1.1981409,7.9876065,True
0,43,0.43983144,-0.3518651,2.3457677,True
0,44,1.5111437,-0.9066861,6.0445747,True
0,45,0.64778024,-0.31093448,2.0728967,True
0,46,3.6497402,-1.4598958,9.73264,True
0,47,3.4404016,-1.1795661,7.863775,True
0,48,-2.3281493,-0.40742612,4.6562986,True
0,49,-1.5766742,-0.31533486,3.6038268,True
0,50,-0.9616448,-0.22438379,2.5643861,True
0,51,-3.027164,-0.8476059,9.686925,True
0,52,-0.52777094,-0.18471983,2.1110837,True
0,53,-1.3365492,-0.62372303,7.1282635,True
0,54,-0.39274204,-0.27491942,3.1419363,True
0,55,-0.37896854,-0.53055596,6.0634966,True
0,56,0.0,-0.7423797,8.48434,True
0,57,0.09570338,-0.13398473,1.531254,True
0,58,0.788003,-0.5516019,6.304022,True
0,59,0.9006405,-0.42029887,4.803416,True
0,60,2.4816728,-0.86858547,9.926691,True
0,61,1.23623,-0.34614438,3.955936,True
0,62,2.7049088,-0.63114536,7.21309,True
0,63,1.0544431,-0.2108886,2.4101555,True
0,64,-1.614774,-0.08073862,3.2295477,True
0,65,-4.280407,-0.24459445,9.783788,True
0,66,-1.1827545,-0.078850225,3.154012,True
0,67,-2.3143349,-0.18514661,7.405872,True
0,68,-1.4417017,-0.14417002,5.7668066,True
0,69,-1.5146979,-0.20195957,8.07839,True
0,70,-0.21743257,-0.043486472,1.7394606,True
0,71,-0.1609231,-0.06436918,2.5747695,True
0,72,0.0,-0.09400841,3.76034,True
0,73,0.32748222,-0.13099277,5.2397156,True
0,74,0.82164,-0.16432779,6.5731177,True
0,75,1.5952346,-0.21269774,8.507918,True
0,76,1.3165284,-0.13165271,5.2661138,True
0,77,0.96257514,-0.07700594,3.0802405,True
0,78,2.3929622,-0.15953067,6.3812327,True
0,79,0.43828732,-0.025044966,1.0017996,True
0,80,-3.7156034,0.27867043,7.4312067,True
0,81,-2.7883806,0.23900421,6.373441,True
0,82,-2.3915954,0.23915967,6.3775873,True
0,83,-2.0268834,0.24322614,6.486027,True
0,84,-1.3278711,0.1991808,5.3114843,True
0,85,-0.8097512,0.16195036,4.3186736,True
0,86,-0.7280374,0.21841137,5.8242993,True
